TABLE D-4c. SUMMARY OF SELECTED ACUTE AQUATIC HABITAT GOALS,,,,,,
,,,,,,
CONTAMINANT,1Aquatic Habitat Goals,,,,,
,"1Estuarine Acute
Aquatic
Habitat Goal
(ug/L)",Basis,"Freshwater Acute 
Aquatic
Habitat Goal
(ug/L)",Basis,"Saltwater Acute
Aquatic
Habitat Goal
(ug/L)",Basis
ACENAPHTHENE,3.2E+02,Hawaii Acute SW WQS,5.7E+02,Hawaii Acute FW WQS,3.2E+02,Hawaii Acute SW WQS
ACENAPHTHYLENE,3.0E+02,CCME 2002,3.0E+02,CCME 2002,3.0E+02,CCME 2002
ACETONE,1.5E+04,USEPA Acute FW,1.5E+04,USEPA Acute FW,2.8E+04,USEPA Acute SW
ALDRIN,1.3E+00,Hawaii Acute SW WQS,3.0E+00,Hawaii Acute FW WQS,1.3E+00,Hawaii Acute SW WQS
AMETRYN,1.8E+03,USEPA Off Pesticides (FW),1.8E+03,USEPA Off Pesticides,1.8E+03,USEPA Off Pesticides (FW)
"AMINO,2- DINITROTOLUENE,4,6-",1.6E+02,USEPA Acute FW,1.6E+02,USEPA Acute FW,1.8E+02,USEPA Acute SW
"AMINO,4- DINITROTOLUENE,2,6-",9.8E+01,USEPA Reg IV (FW),9.8E+01,USEPA Acute FW,9.8E+01,USEPA Reg IV (FW)
ANTHRACENE,1.8E-01,USEPA Acute FW,1.8E-01,USEPA Acute FW,1.3E+01,USEPA Acute SW
ANTIMONY,1.8E+02,USEPA Acute SW,3.0E+03,Hawaii Acute FW WQS,1.8E+02,USEPA Acute SW
ARSENIC,6.9E+01,Hawaii Acute SW WQS,3.6E+02,Hawaii Acute FW WQS,6.9E+01,Hawaii Acute SW WQS
ATRAZINE,3.3E+02,USEPA Reg IV (FW),3.3E+02,USEPA Acute FW,3.3E+02,USEPA Reg IV (FW)
BARIUM,2.0E+03,USEPA Acute SW,2.0E+03,USEPA Acute FW,2.0E+03,USEPA Acute SW
BENOMYL,2.8E+00,USGS Acute (FW),2.8E+00,USGS 2012,2.8E+00,USGS Acute (FW)
